2,122,105,56
12,81,88,136
12,81,102,134
12,103,34,138
12,119,53,90
12,143,46,105
16,69,88,136
16,69,102,134
16,111,30,138
16,111,35,136
16,145,110,68
52,8,99,128
52,13,147,114
52,105,0,131
52,134,86,7
67,17,129,103
67,105,4,143
67,105,6,147
67,105,123,22
67,105,125,26
91,17,141,31
91,53,20,126
91,53,24,124
91,53,141,7
91,53,145,5
91,68,117,11
91,127,59,9
91,134,73,7
121,3,95,68
133,13,107,47
133,17,90,42
137,4,68,97
137,4,105,82
137,92,74,17
137,92,78,13
139,44,107,13
139,98,74,17
139,98,78,13
